Serial Number:20365150 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","EOF"
2019-09-21 10:49:20,77.17,275, , , 
2019-09-21 10:49:38, , ,Logged, , 
2019-09-21 11:49:20,72.77,108, , , 
2019-09-21 12:49:20,73.54,80, , , 
2019-09-21 13:49:20,73.69,236, , , 
2019-09-21 14:49:20,73.62,202, , , 
2019-09-21 15:49:20,70.99,118, , , 
2019-09-21 16:49:20,68.29,81, , , 
2019-09-21 17:49:20,65.59,57, , , 
2019-09-21 18:49:20,62.57,3, , , 
2019-09-21 19:49:20,60.80,0, , , 
2019-09-21 20:49:20,61.72,0, , , 
2019-09-21 21:49:20,55.78,0, , , 
2019-09-21 22:49:20,52.69,0, , , 
2019-09-21 23:49:20,48.44,0, , , 
2019-09-22 00:49:20,44.04,0, , , 
2019-09-22 01:49:20,41.42,0, , , 
2019-09-22 02:49:20,40.18,0, , , 
2019-09-22 03:49:20,40.18,0, , , 
2019-09-22 04:49:20,40.64,0, , , 
2019-09-22 05:49:20,38.17,0, , , 
2019-09-22 06:49:20,35.70,6, , , 
2019-09-22 07:49:20,41.42,121, , , 
2019-09-22 08:49:20,64.74,217, , , 
2019-09-22 09:49:20,65.97,308, , , 
2019-09-22 10:49:20,68.98,208, , , 
2019-09-22 11:49:20,66.74,97, , , 
2019-09-22 12:49:20,67.44,92, , , 
2019-09-22 13:49:20,69.14,85, , , 
2019-09-22 14:49:20,72.30,187, , , 
2019-09-22 15:49:20,72.23,142, , , 
2019-09-22 16:49:20,75.86,206, , , 
2019-09-22 17:49:20,71.45,86, , , 
2019-09-22 18:49:20,62.65,12, , , 
2019-09-22 19:49:20,54.47,0, , , 
2019-09-22 20:49:20,49.37,0, , , 
2019-09-22 21:49:20,45.35,0, , , 
2019-09-22 22:49:20,43.19,0, , , 
2019-09-22 23:49:20,42.19,0, , , 
2019-09-23 00:49:20,43.73,0, , , 
2019-09-23 01:49:20,41.65,0, , , 
2019-09-23 02:49:20,39.72,0, , , 
2019-09-23 03:49:20,37.55,0, , , 
2019-09-23 04:49:20,37.94,0, , , 
2019-09-23 05:49:20,37.86,0, , , 
2019-09-23 06:49:20,35.70,5, , , 
2019-09-23 07:49:20,41.96,145, , , 
2019-09-23 08:49:20,60.95,214, , , 
2019-09-23 09:49:20,61.34,262, , , 
2019-09-23 10:49:20,75.16,247, , , 
2019-09-23 11:49:20,70.30,113, , , 
2019-09-23 12:49:20,73.15,104, , , 
2019-09-23 13:49:20,75.32,219, , , 
2019-09-23 14:49:20,77.56,249, , , 
2019-09-23 15:49:20,76.09,206, , , 
2019-09-23 16:49:20,73.39,130, , , 
2019-09-23 17:49:20,68.91,87, , , 
2019-09-23 18:49:20,61.88,7, , , 
2019-09-23 19:49:20,56.32,0, , , 
2019-09-23 20:49:20,53.00,0, , , 
2019-09-23 21:49:20,50.68,0, , , 
2019-09-23 22:49:20,48.91,0, , , 
2019-09-23 23:49:20,46.36,0, , , 
2019-09-24 00:49:20,44.20,0, , , 
2019-09-24 01:49:20,44.43,0, , , 
2019-09-24 02:49:20,42.88,0, , , 
2019-09-24 03:49:20,44.35,0, , , 
2019-09-24 04:49:20,44.12,0, , , 
2019-09-24 05:49:20,44.81,0, , , 
2019-09-24 06:49:20,42.27,6, , , 
2019-09-24 07:49:20,48.52,402, , , 
2019-09-24 08:49:20,72.69,227, , , 
2019-09-24 09:49:20,83.04,295, , , 
2019-09-24 10:49:20,83.81,226, , , 
2019-09-24 11:49:20,78.95,106, , , 
2019-09-24 12:49:20,79.41,101, , , 
2019-09-24 13:49:20,80.03,91, , , 
2019-09-24 14:49:20,82.96,115, , , 
2019-09-24 15:49:20,83.81,217, , , 
2019-09-24 16:49:20,87.29,217, , , 
2019-09-24 17:49:20,78.87,85, , , 
2019-09-24 18:49:20,67.83,12, , , 
2019-09-24 19:49:20,58.40,0, , , 
2019-09-24 20:49:20,54.16,0, , , 
2019-09-24 21:49:20,52.69,0, , , 
2019-09-24 22:49:20,50.45,0, , , 
2019-09-24 23:49:20,47.98,0, , , 
2019-09-25 00:49:20,46.05,0, , , 
2019-09-25 01:49:20,44.81,0, , , 
2019-09-25 02:49:20,43.73,0, , , 
2019-09-25 03:49:20,42.57,0, , , 
2019-09-25 04:49:20,42.50,0, , , 
2019-09-25 05:49:20,48.44,0, , , 
2019-09-25 06:49:20,51.15,5, , , 
2019-09-25 07:49:20,57.56,118, , , 
2019-09-25 08:49:20,67.05,213, , , 
2019-09-25 09:49:20,77.56,269, , , 
2019-09-25 10:49:20,73.00,232, , , 
2019-09-25 11:49:20,68.44,102, , , 
2019-09-25 12:49:20,71.07,99, , , 
2019-09-25 13:49:20,75.47,105, , , 
2019-09-25 14:49:20,78.40,151, , , 
2019-09-25 15:49:20,78.56,191, , , 
2019-09-25 16:49:20,75.78,126, , , 
2019-09-25 17:49:20,75.01,88, , , 
2019-09-25 18:49:20,65.82,7, , , 
2019-09-25 19:49:20,57.17,0, , , 
2019-09-25 20:49:20,52.30,0, , , 
2019-09-25 21:49:20,50.06,0, , , 
2019-09-25 22:49:20,48.67,0, , , 
2019-09-25 23:49:20,56.63,0, , , 
2019-09-26 00:49:20,53.00,0, , , 
2019-09-26 01:49:20,50.68,0, , , 
2019-09-26 02:49:20,46.51,0, , , 
2019-09-26 03:49:20,41.96,0, , , 
2019-09-26 04:49:20,39.33,0, , , 
2019-09-26 05:49:20,37.63,0, , , 
2019-09-26 06:49:20,37.32,4, , , 
2019-09-26 07:49:20,42.19,144, , , 
2019-09-26 08:49:20,60.34,213, , , 
2019-09-26 09:49:20,63.50,334, , , 
2019-09-26 10:49:20,67.83,305, , , 
2019-09-26 11:49:20,64.58,98, , , 
2019-09-26 12:49:20,67.90,116, , , 
2019-09-26 13:49:20,71.22,119, , , 
2019-09-26 14:49:20,76.55,146, , , 
2019-09-26 15:49:20,79.95,216, , , 
2019-09-26 16:49:20,87.44,262, , , 
2019-09-26 17:49:20,80.64,44, , , 
2019-09-26 18:49:20,77.17,6, , , 
2019-09-26 19:49:20,75.78,0, , , 
2019-09-26 20:49:20,75.01,0, , , 
2019-09-26 21:49:20,72.61,0, , , 
2019-09-26 22:49:20,71.22,0, , , 
2019-09-26 23:49:20,61.34,0, , , 
2019-09-27 00:49:20,54.62,0, , , 
2019-09-27 01:49:20,50.37,0, , , 
2019-09-27 02:49:20,52.61,0, , , 
2019-09-27 03:49:20,55.78,0, , , 
2019-09-27 04:49:20,49.91,0, , , 
2019-09-27 05:49:20,45.05,0, , , 
