Serial Number:20467371 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-09-21 10:51:34,73.39,643, , , , 
2019-09-21 11:51:34,73.15,379, , , , 
2019-09-21 12:51:34,74.39,326, , , , 
2019-09-21 13:51:34,77.01,840, , , , 
2019-09-21 14:51:34,76.78,718, , , , 
2019-09-21 15:51:34,73.54,459, , , , 
2019-09-21 16:51:34,69.60,298, , , , 
2019-09-21 17:51:34,66.44,177, , , , 
2019-09-21 18:51:34,62.42,9, , , , 
2019-09-21 19:51:34,60.49,0, , , , 
2019-09-21 20:51:34,61.11,0, , , , 
2019-09-21 21:51:34,53.54,0, , , , 
2019-09-21 22:51:34,50.61,0, , , , 
2019-09-21 23:51:34,46.67,0, , , , 
2019-09-22 00:51:34,42.50,0, , , , 
2019-09-22 01:51:34,39.79,0, , , , 
2019-09-22 02:51:34,39.25,0, , , , 
2019-09-22 03:51:34,38.40,0, , , , 
2019-09-22 04:51:34,39.79,0, , , , 
2019-09-22 05:51:34,36.71,0, , , , 
2019-09-22 06:51:34,34.39,24, , , , 
2019-09-22 07:51:34,42.73,266, , , , 
2019-09-22 08:51:34,81.34,"4,313", , , , 
2019-09-22 09:51:34,95.01,"5,649", , , , 
2019-09-22 10:51:34,66.51,596, , , , 
2019-09-22 11:51:34,66.67,316, , , , 
2019-09-22 12:51:34,68.83,381, , , , 
2019-09-22 13:51:34,71.45,294, , , , 
2019-09-22 14:51:34,72.61,571, , , , 
2019-09-22 15:51:34,91.38,"2,032", , , , 
2019-09-22 16:51:34,88.68,"1,199", , , , 
2019-09-22 17:51:34,77.56,292, , , , 
2019-09-22 18:51:34,63.50,27, , , , 
2019-09-22 19:51:34,54.85,0, , , , 
2019-09-22 20:51:34,47.67,0, , , , 
2019-09-22 21:51:34,44.27,0, , , , 
2019-09-22 22:51:34,42.27,0, , , , 
2019-09-22 23:51:34,41.65,0, , , , 
2019-09-23 00:51:34,44.20,0, , , , 
2019-09-23 01:51:34,40.95,0, , , , 
2019-09-23 02:51:34,38.64,0, , , , 
2019-09-23 03:51:34,36.63,0, , , , 
2019-09-23 04:51:34,37.25,0, , , , 
2019-09-23 05:51:34,36.78,0, , , , 
2019-09-23 06:51:34,35.24,19, , , , 
2019-09-23 07:51:34,45.59,443, , , , 
2019-09-23 08:51:34,66.44,"1,401", , , , 
2019-09-23 09:51:34,69.52,"1,481", , , , 
2019-09-23 10:51:34,75.39,602, , , , 
2019-09-23 11:51:34,73.08,521, , , , 
2019-09-23 12:51:34,76.01,540, , , , 
2019-09-23 13:51:34,78.71,884, , , , 
2019-09-23 14:51:34,82.57,"1,076", , , , 
2019-09-23 15:51:34,81.57,750, , , , 
2019-09-23 16:51:34,76.78,410, , , , 
2019-09-23 17:51:34,69.83,258, , , , 
2019-09-23 18:51:34,60.57,15, , , , 
2019-09-23 19:51:34,56.47,0, , , , 
2019-09-23 20:51:34,52.54,0, , , , 
2019-09-23 21:51:34,49.60,0, , , , 
2019-09-23 22:51:34,47.83,0, , , , 
2019-09-23 23:51:34,45.66,0, , , , 
2019-09-24 00:51:34,43.81,0, , , , 
2019-09-24 01:51:34,43.81,0, , , , 
2019-09-24 02:51:34,42.34,0, , , , 
2019-09-24 03:51:34,44.74,0, , , , 
2019-09-24 04:51:34,44.89,0, , , , 
2019-09-24 05:51:34,46.28,0, , , , 
2019-09-24 06:51:34,41.57,21, , , , 
2019-09-24 07:51:34,56.78,"1,644", , , , 
2019-09-24 08:51:34,94.08,"4,840", , , , 
2019-09-24 09:51:34,118.25,"5,518", , , , 
2019-09-24 10:51:34,83.19,399, , , , 
2019-09-24 11:51:34,79.64,326, , , , 
2019-09-24 12:51:34,81.96,375, , , , 
2019-09-24 13:51:34,82.96,306, , , , 
2019-09-24 14:51:34,85.43,889, , , , 
2019-09-24 15:51:34,103.27,"2,156", , , , 
2019-09-24 16:51:34,101.73,"1,036", , , , 
2019-09-24 17:51:34,85.12,241, , , , 
2019-09-24 18:51:34,66.90,25, , , , 
2019-09-24 19:51:34,57.56,0, , , , 
2019-09-24 20:51:34,53.08,0, , , , 
2019-09-24 21:51:34,53.77,0, , , , 
2019-09-24 22:51:34,50.61,0, , , , 
2019-09-24 23:51:34,47.36,0, , , , 
2019-09-25 00:51:34,45.51,0, , , , 
2019-09-25 01:51:34,43.81,0, , , , 
2019-09-25 02:51:34,42.65,0, , , , 
2019-09-25 03:51:34,42.11,0, , , , 
2019-09-25 04:51:34,41.96,0, , , , 
2019-09-25 05:51:34,48.91,0, , , , 
2019-09-25 06:51:34,50.53,19, , , , 
2019-09-25 07:51:34,65.89,"2,507", , , , 
2019-09-25 08:51:34,81.18,"5,333", , , , 
2019-09-25 09:51:34,106.74,"5,816", , , , 
2019-09-25 10:51:34,70.76,380, , , , 
2019-09-25 11:51:34,69.06,346, , , , 
2019-09-25 12:51:34,72.69,323, , , , 
2019-09-25 13:51:34,78.10,693, , , , 
2019-09-25 14:51:34,82.19,"1,634", , , , 
2019-09-25 15:51:34,92.38,"1,614", , , , 
2019-09-25 16:51:34,79.72,407, , , , 
2019-09-25 17:51:34,79.56,308, , , , 
2019-09-25 18:51:34,65.12,16, , , , 
2019-09-25 19:51:34,55.62,0, , , , 
2019-09-25 20:51:34,50.91,0, , , , 
2019-09-25 21:51:34,49.14,0, , , , 
2019-09-25 22:51:34,48.13,0, , , , 
